,facility_name,total_orders,revenue,total_cancellations,lost_rev,percent_cancel
40,Taco CSS (24449),1173,24344.240000000045,126,2801.6300000000006,0.10741687979539642
97,Taco CSS (30409),967,23158.89000000003,122,3467.7600000000016,0.12616339193381593
136,Taco CSS (34299),1278,25078.300000000025,112,2109.7800000000007,0.08763693270735524
15,Taco CSS (1880),1018,18964.30000000002,99,1895.9999999999998,0.09724950884086445
43,Taco CSS (24651),1402,31286.650000000052,97,2307.410000000001,0.06918687589158345
142,Taco CSS (4014),749,16189.119999999995,70,1790.0100000000004,0.09345794392523364
81,Taco CSS (27902),711,13856.789999999997,67,1438.8900000000003,0.09423347398030943
133,Taco CSS (3294),1185,25274.279999999973,60,1238.9399999999996,0.05063291139240506
48,Taco CSS (26084),656,14275.030000000008,60,1533.44,0.09146341463414634
28,Taco CSS (2260),761,16206.349999999999,58,1291.8300000000002,0.07621550591327202
106,Taco CSS (30420),512,10677.499999999998,55,1283.0200000000007,0.107421875
88,Taco CSS (30399),688,16094.910000000014,51,1097.8100000000002,0.07412790697674419
107,Taco CSS (30421),1138,21045.76999999999,50,899.98,0.043936731107205626
46,Taco CSS (2469),501,9859.040000000003,45,812.8899999999999,0.08982035928143713
96,Taco CSS (30407),573,11428.239999999994,44,916.21,0.07678883071553229
33,Taco CSS (23270),648,15196.250000000011,42,889.3199999999997,0.06481481481481481
108,Taco CSS (30422),1612,33360.630000000056,40,933.54,0.02481389578163772
73,Taco CSS (27361),434,9158.969999999996,39,1075.0499999999997,0.08986175115207373
10,Taco CSS (16415),657,13203.240000000007,39,864.4399999999997,0.0593607305936073
104,Taco CSS (30418),592,12958.359999999991,37,908.54,0.0625
138,Taco CSS (3527),831,18050.70999999998,36,876.21,0.04332129963898917
93,Taco CSS (30404),692,14901.559999999996,35,838.9800000000001,0.05057803468208093
99,Taco CSS (30411),379,8186.389999999996,31,675.9300000000002,0.08179419525065963
114,Taco CSS (31268),743,14853.530000000006,31,562.1999999999999,0.04172274562584118
13,Taco CSS (1661),630,13619.870000000004,29,564.43,0.046031746031746035
62,Taco CSS (26747),818,17772.559999999994,27,552.6,0.03300733496332518
103,Taco CSS (30417),795,16486.570000000007,27,602.7599999999999,0.033962264150943396
52,Taco CSS (26737),435,9177.98,27,676.7800000000001,0.06206896551724138
42,Taco CSS (24650),842,18200.079999999973,25,598.21,0.029691211401425176
55,Taco CSS (26740),380,8877.650000000001,25,740.6599999999999,0.06578947368421052
36,Taco CSS (24150),623,14193.659999999983,22,418.4099999999999,0.03531300160513644
