,facility_name,total_orders,subtotal,revenue,total_discounts,avg_prep_time,avg_revenue,total_issues,total_cancellations
0,Taco CSS (30422),1572,33838.29000000005,32427.09000000004,1135,13.775445292620866,20.62791984732827,73,0
1,Taco CSS (24651),1305,29934.910000000033,28979.240000000038,1064,14.608482871125611,22.20631417624524,127,0
2,Taco CSS (3294),1125,24701.259999999977,24035.339999999975,958,14.995483288166215,21.364746666666644,96,0
3,Taco CSS (34299),1166,23507.540000000008,22968.52000000002,1014,14.99087591240876,19.6985591766724,70,6
4,Taco CSS (1938),1197,23342.269999999993,22647.149999999987,1030,14.991575400168491,18.919924812030064,88,0
5,Taco CSS (24449),1047,22047.34000000002,21542.610000000015,893,14.98567335243553,20.57555873925503,88,0
6,Taco CSS (30405),982,21279.290000000015,20858.830000000016,886,15.0,21.24117107942975,30,1
7,Taco CSS (30421),1088,20737.789999999983,20145.789999999983,923,14.990338164251208,18.51635110294116,52,0
8,Taco CSS (30409),845,20590.66000000001,19691.130000000045,752,14.994082840236686,23.303112426035558,61,0
9,Taco CSS (21470),933,19540.010000000013,19153.73000000001,790,14.994640943193998,20.529185423365497,45,0
10,Taco CSS (1651),861,18998.38,18644.18999999999,730,14.988385598141695,21.65411149825783,33,0
11,Taco CSS (24650),817,17601.869999999974,17601.869999999974,0,14.975520195838433,21.544516523867777,0,0
12,Taco CSS (1646),900,17934.779999999984,17485.95999999999,783,14.99438202247191,19.428844444444433,41,0
13,Taco CSS (26747),791,18021.78,17219.96,499,13.128950695322377,21.76986093552465,29,0
14,Taco CSS (3527),795,18053.569999999985,17174.499999999985,632,13.580562659846548,21.60314465408803,37,0
15,Taco CSS (1880),919,17720.580000000016,17068.300000000014,802,15.0,18.57268770402613,63,1
16,Taco CSS (26734),727,17052.020000000008,17052.020000000008,0,15.0,23.455323246217343,0,0
17,Taco CSS (30417),768,16342.970000000003,15883.810000000003,661,14.986979166666666,20.682044270833337,26,0
18,Taco CSS (30398),762,15951.319999999989,15517.839999999986,625,14.711286089238845,20.364619422572158,23,0
19,Taco CSS (27900),737,15996.800000000012,15319.720000000005,384,12.458448753462603,20.786594301221175,13,0
20,Taco CSS (30399),637,14997.100000000013,14997.100000000013,0,15.0,23.54332810047098,0,0
21,Taco CSS (2260),703,15483.97999999999,14914.519999999999,544,13.826458036984352,21.215533428165006,36,0
22,Taco CSS (3584),678,15246.380000000003,14877.280000000004,588,15.0,21.942890855457232,29,0
23,Taco CSS (33338),721,15176.659999999976,14669.519999999973,553,14.407616361071932,20.34607489597777,22,0
24,Taco CSS (4014),679,14673.659999999994,14399.10999999999,552,14.992636229749632,21.206347569955803,45,0
25,Taco CSS (23270),606,14640.210000000012,14306.930000000011,525,14.983498349834983,23.608795379537973,30,0
26,Taco CSS (31268),712,14637.65000000001,14291.330000000009,604,14.992977528089888,20.072092696629227,22,0
27,Taco CSS (30404),657,14707.619999999988,14062.57999999999,211,12.480974124809741,21.4042313546423,0,0
28,Taco CSS (24150),601,14211.359999999986,13775.249999999985,535,15.0,22.920549084858546,26,0
29,Taco CSS (1661),601,13387.560000000007,13055.440000000006,524,15.0,21.722861896838612,38,0
30,Taco CSS (2762),591,13190.250000000013,12927.910000000009,487,14.897084048027445,21.87463620981389,21,0
31,Taco CSS (26084),596,13087.600000000002,12741.590000000006,517,14.991610738255034,21.378506711409404,27,0
32,Taco CSS (867),581,12912.499999999993,12522.879999999992,515,15.0,21.55401032702236,35,0
33,Taco CSS (27902),644,12912.999999999996,12417.899999999998,382,13.047244094488189,19.282453416149064,33,0
34,Taco CSS (16415),618,12632.17000000001,12338.800000000007,517,15.0,19.96569579288027,40,0
35,Taco CSS (30418),555,12470.279999999992,12049.81999999999,403,14.093406593406593,21.711387387387372,23,0
36,Taco CSS (1264),562,12360.630000000016,12049.510000000013,451,14.288256227758007,21.440409252669063,25,0
37,Taco CSS (22671),571,12323.809999999994,12030.89999999999,477,14.99124343257443,21.069877408056026,13,0
38,Taco CSS (21488),533,11966.969999999996,11966.969999999996,0,14.9906191369606,22.452101313320817,0,0
39,Taco CSS (2029),535,11783.709999999992,11358.289999999994,474,15.0,21.230448598130828,25,0
40,Taco CSS (20199),509,11495.800000000007,11252.34000000001,437,14.97011952191235,22.106758349705323,16,0
41,Taco CSS (27898),482,11448.550000000005,11144.710000000008,418,14.95850622406639,23.121804979253127,20,0
42,Taco CSS (2440),513,11411.679999999991,11102.219999999992,440,15.0,21.641754385964898,17,0
43,Taco CSS (30419),473,11251.319999999992,10956.589999999993,403,15.0,23.164038054968273,20,0
44,Taco CSS (27896),513,10950.510000000004,10731.510000000002,447,15.0,20.919122807017548,5,1
45,Taco CSS (3190),478,11025.659999999993,10716.249999999995,419,14.989539748953975,22.418933054393293,17,0
46,Taco CSS (30407),529,10787.03,10512.030000000004,449,15.0,19.871512287334603,49,0
47,Taco CSS (4360),463,10264.48,10011.750000000002,382,14.977578475336323,21.623650107991363,15,0
48,Taco CSS (31392),421,10111.929999999998,9929.2,361,15.0,23.584798099762473,30,0
49,Taco CSS (29258),474,10131.390000000009,9860.660000000007,357,14.127155172413794,20.803080168776386,22,0
50,Taco CSS (24653),434,10122.369999999999,9809.27,354,14.759036144578314,22.602004608294934,19,0
51,Taco CSS (30367),464,10110.289999999999,9803.530000000002,383,14.708423326133909,21.12829741379311,24,0
52,Taco CSS (24444),433,9938.44,9636.890000000001,374,15.0,22.256096997690534,16,0
53,Taco CSS (26751),472,10004.920000000002,9426.670000000002,211,11.471861471861471,19.971758474576276,5,0
54,Taco CSS (26738),443,9658.849999999997,9414.849999999997,383,15.0,21.25248306997742,9,0
55,Taco CSS (30420),457,9653.3,9394.479999999998,401,14.9890590809628,20.556849015317283,34,0
56,Taco CSS (26746),441,9608.700000000008,9310.430000000006,381,15.0,21.112086167800467,23,0
57,Taco CSS (1795),441,9450.460000000005,9297.550000000001,362,15.0,21.082879818594108,31,0
58,Taco CSS (30413),399,9361.359999999995,9189.719999999996,340,14.974358974358974,23.03187969924811,7,0
59,Taco CSS (21521),419,9371.51,9163.14,364,14.972527472527473,21.8690692124105,31,0
60,Taco CSS (2469),456,9584.750000000002,9046.149999999994,285,12.87280701754386,19.838048245614022,15,0
61,Taco CSS (31393),443,9216.780000000008,9006.320000000007,370,14.966139954853274,20.33029345372462,14,0
62,Taco CSS (23265),419,9104.53,8880.430000000006,350,15.0,21.194343675417674,17,0
63,Taco CSS (26756),387,9136.390000000005,8831.120000000004,311,14.986449864498645,22.819431524547817,18,0
64,Taco CSS (27886),409,9024.260000000007,8748.250000000005,347,15.0,21.389364303178496,34,0
65,Taco CSS (3291),413,8976.199999999993,8699.49,308,14.268292682926829,21.064140435835352,24,0
66,Taco CSS (30401),366,8698.489999999996,8576.419999999998,21,13.592896174863387,23.43284153005464,0,0
67,Taco CSS (26737),408,8774.189999999997,8501.199999999999,347,15.0,20.836274509803918,22,0
68,Taco CSS (32342),381,8511.570000000002,8322.930000000004,318,15.0,21.84496062992127,10,0
69,Taco CSS (3620),388,8515.860000000002,8306.860000000002,335,15.0,21.40943298969073,5,0
70,Taco CSS (26740),355,8356.970000000003,8136.99,36,12.774647887323944,22.921098591549296,0,0
71,Taco CSS (27361),395,8258.649999999994,8083.9199999999955,335,14.987341772151899,20.465620253164545,35,0
72,Taco CSS (23269),360,8321.249999999996,8078.979999999998,299,14.909638554216867,22.441611111111104,14,0
73,Taco CSS (005624),365,8224.289999999997,8057.699999999997,319,15.0,22.075890410958895,11,0
74,Taco CSS (26743),350,8151.9299999999985,7935.920000000001,310,15.0,22.674057142857144,25,0
75,Taco CSS (30651),362,7924.3899999999985,7761.389999999998,312,14.97229916897507,21.44030386740331,6,0
76,Taco CSS (26744),371,7919.659999999998,7654.94,318,15.0,20.633261455525606,26,0
77,Taco CSS (32134),401,7853.560000000001,7644.620000000001,336,15.0,19.06389027431422,32,0
78,Taco CSS (29334),341,7800.080000000004,7566.250000000004,291,15.0,22.1884164222874,18,0
79,Taco CSS (26083),331,7727.549999999997,7560.27,278,14.98489425981873,22.84069486404834,17,0
80,Taco CSS (30411),348,7566.739999999995,7510.4599999999955,16,14.64080459770115,21.58178160919539,0,0
81,Taco CSS (26735),329,7741.349999999995,7504.049999999995,300,15.0,22.808662613981745,13,0
82,Taco CSS (20212),314,7662.19,7483.7300000000005,260,15.0,23.833535031847134,21,0
83,Taco CSS (3292),349,7717.4999999999945,7475.269999999993,298,14.97134670487106,21.419111747850984,16,0
84,Taco CSS (31390),355,7633.200000000002,7457.1100000000015,289,14.985915492957746,21.005943661971834,10,0
85,Taco CSS (23272),335,7541.550000000002,7359.910000000002,287,14.985074626865671,21.96988059701493,8,0
86,Taco CSS (32398),367,7462.36,7280.42,300,15.0,19.83765667574932,7,0
87,Taco CSS (27890),335,7398.5700000000015,7279.240000000002,287,14.984615384615385,21.729074626865675,8,0
88,Taco CSS (24649),329,7256.310000000002,7256.310000000002,0,15.0,22.055653495440737,0,0
89,Taco CSS (030539),348,7239.980000000001,7116.920000000001,279,14.971098265895954,20.450919540229886,5,0
90,Taco CSS (31509),346,7111.519999999998,6954.339999999997,295,15.0,20.099248554913288,13,0
91,Taco CSS (26752),330,7151.050000000006,6941.170000000005,295,14.983766233766234,21.033848484848498,21,0
92,Taco CSS (26742),312,7015.050000000005,6858.900000000003,278,15.0,21.983653846153857,27,0
93,Taco CSS (30970),329,6999.950000000006,6818.860000000007,288,15.0,20.726018237082087,15,0
94,Taco CSS (031069),369,6843.690000000005,6730.420000000006,303,15.0,18.23962059620598,11,0
95,Taco CSS (1999),312,6679.39,6544.069999999999,255,15.0,20.974583333333328,17,0
96,Taco CSS (1439),305,6699.5099999999975,6491.829999999998,252,14.491803278688524,21.28468852459016,10,0
97,Taco CSS (32357),313,6485.140000000003,6234.000000000002,192,13.434504792332268,19.916932907348247,12,0
98,Taco CSS (26741),282,6328.36,6163.85,232,15.0,21.85762411347518,14,0
99,Taco CSS (32343),282,6237.940000000002,6102.120000000002,240,14.981884057971014,21.638723404255327,11,0
100,Taco CSS (032344),323,6148.800000000001,6070.980000000001,277,15.0,18.795603715170284,3,0
101,Taco CSS (31560),306,6180.470000000001,6045.2800000000025,256,14.983660130718954,19.75581699346406,10,0
102,Taco CSS (32168),303,6214.78,6035.33,257,15.0,19.918580858085807,18,0
103,Taco CSS (26749),250,6055.150000000002,5896.090000000001,215,14.978991596638656,23.584360000000004,11,1
104,Taco CSS (29978),245,5860.819999999998,5860.819999999998,0,15.0,23.921714285714277,0,0
105,Taco CSS (3296),268,5994.719999999998,5839.989999999998,223,14.962546816479401,21.791007462686558,9,0
106,Taco CSS (24298),245,5868.269999999999,5726.739999999999,210,15.0,23.374448979591833,14,0
107,Taco CSS (27903),262,5825.83,5714.65,215,15.0,21.811641221374046,9,0
108,Taco CSS (26739),267,5860.4000000000015,5711.400000000001,236,15.0,21.39101123595506,15,0
109,Taco CSS (31070),269,5756.180000000001,5555.670000000002,206,14.398496240601503,20.653048327137554,6,0
110,Taco CSS (30406),240,5649.32,5549.77,199,15.0,23.124041666666667,9,0
111,Taco CSS (23271),249,5644.9299999999985,5534.34,212,15.0,22.226265060240966,2,0
112,Taco CSS (30402),248,5556.199999999999,5439.259999999999,210,15.0,21.932499999999997,4,0
113,Taco CSS (30400),221,5358.470000000002,5210.010000000002,180,15.0,23.57470588235295,7,0
114,Taco CSS (32543),265,5127.870000000001,5052.870000000001,232,15.0,19.067433962264154,19,0
115,Taco CSS (26757),232,5141.930000000002,4976.600000000003,204,15.0,21.45086206896553,12,0
116,Taco CSS (26748),244,5114.64,4953.759999999998,211,15.0,20.302295081967205,8,0
117,Taco CSS (36293),209,4952.130000000004,4858.040000000004,175,14.97549019607843,23.244210526315808,13,0
118,Taco CSS (26755),202,4635.87,4635.87,0,15.0,22.949851485148514,0,0
119,Taco CSS (19755),225,4742.92,4606.55,173,14.666666666666666,20.473555555555556,8,0
120,Taco CSS (26736),192,4425.180000000002,4166.56,117,12.630208333333334,21.700833333333335,1,0
121,Taco CSS (032167),194,4151.549999999999,4091.549999999999,160,15.0,21.090463917525767,4,0
122,Taco CSS (20721),173,4034.6000000000013,3975.960000000001,145,15.0,22.982427745664744,2,0
123,Taco CSS (26750),192,4058.0400000000013,3950.3800000000015,167,15.0,20.57489583333334,9,0
124,Taco CSS (26745),169,3849.5199999999986,3733.1899999999987,150,15.0,22.089881656804724,6,0
125,Taco CSS (34814),155,3786.3200000000006,3682.860000000001,115,15.0,23.7603870967742,9,0
126,Taco CSS (30410),151,3728.23,3622.77,124,15.0,23.991854304635762,5,0
127,Taco CSS (23267),159,3602.089999999999,3502.0899999999992,132,15.0,22.025723270440245,6,0
128,Taco CSS (32031),150,3498.369999999999,3422.099999999999,134,15.0,22.813999999999993,14,0
129,Taco CSS (31269),156,3324.6800000000003,3233.04,127,14.967948717948717,20.724615384615383,4,0
130,Taco CSS (30403),141,3283.03,3199.1499999999996,126,15.0,22.68900709219858,5,0
131,Taco CSS (20299),126,2949.9000000000005,2924.9000000000005,100,15.0,23.21349206349207,1,0
132,Taco CSS (5228),137,3019.7700000000004,2907.0200000000004,105,14.124087591240876,21.219124087591243,4,0
133,Taco CSS (26754),133,2958.729999999999,2887.3999999999987,117,14.962406015037594,21.709774436090218,2,0
134,Taco CSS (30866),128,2926.2199999999993,2880.1299999999987,114,14.919354838709678,22.50101562499999,7,0
135,Taco CSS (32348),142,2950.8999999999996,2865.9099999999994,121,15.0,20.18246478873239,1,0
136,Taco CSS (24656),118,2941.4699999999993,2858.649999999999,102,15.0,24.22584745762711,2,0
137,Taco CSS (26753),116,2846.940000000001,2799.8800000000006,98,15.0,24.136896551724142,6,0
138,Taco CSS (22350),131,2761.1700000000005,2711.44,104,14.427480916030534,20.698015267175574,5,0
139,Taco CSS (30415),105,2355.47,2285.4699999999993,87,15.0,21.766380952380946,2,0
140,Taco CSS (30982),102,2241.9199999999983,2152.7999999999984,89,15.0,21.105882352941162,2,0
141,Taco CSS (032350),95,2084.4500000000007,2037.6300000000003,84,15.0,21.448736842105266,3,0
142,Taco CSS (27897),79,1878.0800000000002,1823.14,70,15.0,23.077721518987342,1,0
143,Taco CSS (030840),81,1670.3600000000006,1625.3600000000006,67,14.926470588235293,20.06617283950618,4,0
144,Taco CSS (030949),56,1075.28,1060.28,44,15.0,18.93357142857143,0,1
145,Taco CSS (30414),12,251.64000000000001,248.64000000000001,12,15.0,20.720000000000002,0,0
