,facility_name,total_orders,subtotal,revenue,total_discounts,avg_prep_time,avg_revenue,total_issues,total_cancellations
0,Taco CSS (30422),1572,33838.29000000005,32427.09000000004,1135,13.775445292620866,20.62791984732827,73,0
1,Taco CSS (24651),1305,29934.910000000033,28979.240000000038,1064,14.608482871125611,22.20631417624524,127,0
2,Taco CSS (3294),1125,24701.259999999977,24035.339999999975,958,14.995483288166215,21.364746666666644,96,0
3,Taco CSS (34299),1166,23507.540000000008,22968.52000000002,1014,14.99087591240876,19.6985591766724,70,6
4,Taco CSS (1938),1197,23342.269999999993,22647.149999999987,1030,14.991575400168491,18.919924812030064,88,0
5,Taco CSS (24449),1047,22047.34000000002,21542.610000000015,893,14.98567335243553,20.57555873925503,88,0
6,Taco CSS (30405),982,21279.290000000015,20858.830000000016,886,15.0,21.24117107942975,30,1
7,Taco CSS (30421),1088,20737.789999999983,20145.789999999983,923,14.990338164251208,18.51635110294116,52,0
8,Taco CSS (30409),845,20590.66000000001,19691.130000000045,752,14.994082840236686,23.303112426035558,61,0
9,Taco CSS (21470),933,19540.010000000013,19153.73000000001,790,14.994640943193998,20.529185423365497,45,0
