,facility_name,ofo_cancellation_reason,total_orders
0,Taco CSS (34299),KITCHEN_CLOSED,34
1,Taco CSS (30409),RESTAURANT_TOO_BUSY,33
2,Taco CSS (30409),KITCHEN_CLOSED,29
3,Taco CSS (2260),KITCHEN_CLOSED,28
4,Taco CSS (30421),KITCHEN_CLOSED,24
5,Taco CSS (26084),KITCHEN_CLOSED,20
6,Taco CSS (30409),RESTAURANT_INTERNAL_ISSUE,19
7,Taco CSS (1880),KITCHEN_CLOSED,17
8,Taco CSS (24449),KITCHEN_CLOSED,17
9,Taco CSS (1880),RESTAURANT_INTERNAL_ISSUE,16
10,Taco CSS (1880),LATE_DELIVERY,11
11,Taco CSS (24651),RESTAURANT_INTERNAL_ISSUE,11
12,Taco CSS (26084),RESTAURANT_TOO_BUSY,11
13,Taco CSS (4014),KITCHEN_CLOSED,11
14,Taco CSS (23270),KITCHEN_CLOSED,10
15,Taco CSS (24449),RESTAURANT_INTERNAL_ISSUE,10
16,Taco CSS (24651),CUSTOMER_CALLED_TO_CANCEL,10
17,Taco CSS (24449),RESTAURANT_TOO_BUSY,9
18,Taco CSS (30407),RESTAURANT_INTERNAL_ISSUE,9
19,Taco CSS (34299),RESTAURANT_INTERNAL_ISSUE,9
20,Taco CSS (34299),RESTAURANT_TOO_BUSY,9
21,Taco CSS (16415),KITCHEN_CLOSED,8
22,Taco CSS (1880),ALL_ITEMS_OUT_OF_STOCK,8
23,Taco CSS (1880),CUSTOMER_CALLED_TO_CANCEL,8
24,Taco CSS (30417),KITCHEN_CLOSED,8
25,Taco CSS (31392),KITCHEN_CLOSED,8
26,Taco CSS (3294),RESTAURANT_INTERNAL_ISSUE,8
27,Taco CSS (23270),LATE_DELIVERY,7
28,Taco CSS (24449),REASON_UNKNOWN,7
29,Taco CSS (24651),KITCHEN_CLOSED,7
30,Taco CSS (30409),CUSTOMER_CALLED_TO_CANCEL,7
31,Taco CSS (30422),RESTAURANT_INTERNAL_ISSUE,7
32,Taco CSS (3527),KITCHEN_CLOSED,7
33,Taco CSS (24651),RESTAURANT_TOO_BUSY,6
34,Taco CSS (30418),ALL_ITEMS_OUT_OF_STOCK,6
35,Taco CSS (30421),RESTAURANT_TOO_BUSY,6
36,Taco CSS (31268),KITCHEN_CLOSED,6
37,Taco CSS (3294),KITCHEN_CLOSED,6
38,Taco CSS (1661),KITCHEN_CLOSED,5
39,Taco CSS (1661),RESTAURANT_TOO_BUSY,5
40,Taco CSS (23270),RESTAURANT_TOO_BUSY,5
41,Taco CSS (24651),ALL_ITEMS_OUT_OF_STOCK,5
42,Taco CSS (24651),LATE_DELIVERY,5
43,Taco CSS (26737),KITCHEN_CLOSED,5
44,Taco CSS (32357),RESTAURANT_INTERNAL_ISSUE,5
45,Taco CSS (34299),ALL_ITEMS_OUT_OF_STOCK,5
46,Taco CSS (4014),ALL_ITEMS_OUT_OF_STOCK,5
47,Taco CSS (20721),LATE_DELIVERY,4
48,Taco CSS (23270),ALL_ITEMS_OUT_OF_STOCK,4
49,Taco CSS (23272),LATE_DELIVERY,4
50,Taco CSS (24150),CUSTOMER_CALLED_TO_CANCEL,4
51,Taco CSS (24651),REASON_MISCONFIGURED_CUSTOMER_ADDRESS,4
52,Taco CSS (26757),KITCHEN_CLOSED,4
53,Taco CSS (27361),RESTAURANT_INTERNAL_ISSUE,4
54,Taco CSS (30405),CUSTOMER_CALLED_TO_CANCEL,4
55,Taco CSS (30418),RESTAURANT_TOO_BUSY,4
56,Taco CSS (30419),LATE_DELIVERY,4
57,Taco CSS (32348),LATE_DELIVERY,4
58,Taco CSS (34299),LATE_DELIVERY,4
59,Taco CSS (3527),RESTAURANT_INTERNAL_ISSUE,4
60,Taco CSS (4014),RESTAURANT_INTERNAL_ISSUE,4
61,Taco CSS (4014),RESTAURANT_TOO_BUSY,4
62,Taco CSS (032350),LATE_DELIVERY,3
63,Taco CSS (1264),REASON_UNKNOWN,3
64,Taco CSS (16415),ALL_ITEMS_OUT_OF_STOCK,3
65,Taco CSS (16415),RESTAURANT_INTERNAL_ISSUE,3
66,Taco CSS (16415),RESTAURANT_TOO_BUSY,3
67,Taco CSS (1880),RESTAURANT_TOO_BUSY,3
68,Taco CSS (2260),RESTAURANT_TOO_BUSY,3
69,Taco CSS (23270),CUSTOMER_CALLED_TO_CANCEL,3
70,Taco CSS (2440),CUSTOMER_CALLED_TO_CANCEL,3
71,Taco CSS (2440),LATE_DELIVERY,3
72,Taco CSS (24449),LATE_DELIVERY,3
73,Taco CSS (26084),ALL_ITEMS_OUT_OF_STOCK,3
74,Taco CSS (26084),RESTAURANT_INTERNAL_ISSUE,3
75,Taco CSS (26741),KITCHEN_CLOSED,3
76,Taco CSS (26742),KITCHEN_CLOSED,3
77,Taco CSS (26742),RESTAURANT_TOO_BUSY,3
78,Taco CSS (26744),KITCHEN_CLOSED,3
79,Taco CSS (27361),ALL_ITEMS_OUT_OF_STOCK,3
80,Taco CSS (27361),REASON_UNKNOWN,3
